gvkey,CUSIP,earningsdate,,permno,ticker,ret_1day,ret_1daypost,ret_5day,ret_3day,ret_2day,yq,,,,,,,
021542,00036020,02nov2017,2017,76868,AAON,0.99820632,1.0000591,-0.01556701,-0.019594267,-0.001734668,2017q4,,,,,,AVX,40
021542,00036020,27feb2018,2018,76868,AAON,1.0936728,0.96187675,0.018527221,0.051861007,0.051978417,2018q1,,,,,,AXTI,59
021542,00036020,03may2018,2018,76868,AAON,0.9386465,0.92451006,-0.11936594,-0.14002471,-0.13221186,2018q2,,,,,,AZZ,45
021542,00036020,02aug2018,2018,76868,AAON,0.98382264,1.0290706,0.01268328,0.007030068,0.012423006,2018q3,,,,,,ABAX,33
021542,00036020,01nov2018,2018,76868,AAON,1.095136,1.0254484,0.18566537,0.11584122,0.12300549,2018q4,,,,,,AAN,15
021542,00036020,28feb2019,2019,76868,AAON,0.96192759,1.0290488,0.017155511,-0.015131854,-0.010129606,2019q1,,,,,,ABT,59
021542,00036020,02may2019,2019,76868,AAON,0.99465168,1.035341,-0.037830275,0.030607522,0.029803693,2019q2,,,,,,ABBV,48
021542,00036020,01aug2019,2019,76868,AAON,1.0300847,0.90637779,-0.090168364,-0.071690872,-0.066354081,2019q3,,,,,,ANF,60
021542,00036020,31oct2019,2019,76868,AAON,0.9833433,0.99903625,-0.011402342,-0.020928472,-0.01760439,2019q4,,,,,,PTBI,2
021542,00036020,27feb2020,2020,76868,AAON,1.1251357,0.96375287,0.099988751,0.092247695,0.084352702,2020q1,,,,,,ABEO,38
021542,00036020,07may2020,2020,76868,AAON,1.0220573,0.98880577,0.02545974,0.03383908,0.010616213,2020q2,,,,,,ABMD,51
021542,00036020,06aug2020,2020,76868,AAON,0.94432944,1.0290956,-0.001947104,-0.030787313,-0.028194699,2020q3,,,,,,ABVT,9
021542,00036020,05nov2020,2020,76868,AAON,1.012785,1.0302007,0.028034,0.006410945,0.043371823,2020q4,,,,,,AXAS,41
021542,00036020,25feb2021,2021,76868,AAON,1.0105582,1.0099796,-0.021366755,0.023060845,0.02064324,2021q1,,,,,,ABII,2
021542,00036020,06may2021,2021,76868,AAON,0.99991482,1.026785,0.024298484,0.021300148,0.026697593,2021q2,,,,,,ACIA,19
021542,00036020,05aug2021,2021,76868,AAON,1.0113511,1.0627527,0.10930487,0.063718587,0.074816145,2021q3,,,,,,ASO,17
021542,00036020,04nov2021,2021,76868,AAON,1.0150803,0.9951821,0.05251893,0.01376128,0.010189818,2021q4,,,,,,ACHC,53
021542,00036020,28feb2022,2022,76868,AAON,1.0012194,0.99146134,-0.074016638,-0.009563619,-0.007329656,2022q1,,,,,,ACAD,59
