gvkey,CUSIP,ticker,CIK,CoName,cik_source
2536,53815P10,ACXM,733269.0,LiveRamp Holdings Inc,cusip_link
61523,00088U10,ADAM,863650.0,ADAM INC,cusip_link
12540,00724F10,ADBE,796343.0,ADOBE INC,cusip_link
1013,00088630,ADCT,61478.0,ADC TELECOMMUNICATIONS INC,cusip_link
61726,00685420,ADEP,865415.0,ADEPT TECHNOLOGY INC,cusip_link
156578,00770C10,ADES,1515156.0,ADVANCED EMISSIONS SOLUTIONS INC,cusip_link
178676,02539810,ADGE,1378706.0,AMERICAN DG ENERGY INC,cusip_link
112473,00622820,ADGF,1059763.0,ADAMS GOLF INC,cusip_link
39266,00534A10,ADGI,1832038.0,Invivyd Inc,cusip_link
38056,00534B10,ADGM,2006986.0,Adagio Medical Holdings Inc,cusip_link
1632,03265410,ADI,6281.0,ANALOG DEVICES INC,cusip_link
32395,00688A20,ADIL,1513525.0,ADIAL PHARMACEUTICALS INC,cusip_link
166485,75903M30,ADK,,,not_found
133724,00724X10,ADLR,1076167.0,ADOLOR CORP,cusip_link
1722,03948310,ADM,7084.0,ARCHER DANIELS MIDLAND CO,cusip_link
17653,00089910,ADMA,1368514.0,R&R ACQUISITION VI INC,cusip_link
20042,00548A10,ADMS,1328143.0,Adamas Pharmaceuticals Inc,cusip_link
38001,00788A20,ADN,,,not_found
170615,05070J10,ADNC,1201663.0,AUDIENCE INC,cusip_link
1891,05301510,ADP,8670.0,AUTOMATIC DATA PROCESSING INC,cusip_link
109580,02535310,ADPI,1028087.0,AMERICAN DENTAL PARTNERS INC,cusip_link
35279,00650F10,ADPT,1478320.0,Adaptive Biotechnologies Corp,cusip_link
20672,00685510,ADPT,1602367.0,Adeptus Health Inc,cusip_link
1878,05276910,ADSK,769397.0,Autodesk Inc,cusip_link
16648,00790X10,ADSW,1585790.0,Advanced Disposal Services Inc,cusip_link
32930,00090Q10,ADT,1703056.0,ADT Inc,cusip_link
14438,00101J10,ADT,1546640.0,ADT CORP,cusip_link
37949,00739D10,ADTH,1838672.0,AdTheorent Holding Company Inc,cusip_link
30576,00486H10,ADTN,926282.0,ADTRAN Holdings Inc,cusip_link
183283,00673910,ADUS,1468328.0,ADDUS HOMECARE CORP,cusip_link
31803,00791N10,ADV,1776661.0,Advantage Solutions Inc,cusip_link
61557,00797410,ADVS,1002225.0,ADVENT SOFTWARE INC /DE/,cusip_link
127644,31429Y10,ADY,,,not_found
1121,00635130,AE,2178.0,ADAMS RESOURCES & ENERGY INC,cusip_link
