gvkey,CUSIP,earningsdate,permno,ticker,ret_1day,ret_1daypost,ret_5day,ret_3day,ret_2day,yq
126554,00846U10,2010-02-12,87432,A,0.021769200000000044,-0.008973119999999946,0.017404746,0.004170973,0.012600748,2010q1
126554,00846U10,2010-05-17,87432,A,0.010324999999999918,-0.04836225999999999,-0.030024836,-0.045304406,-0.03853656,2010q2
126554,00846U10,2010-08-16,87432,A,-0.008402110000000018,0.06417019999999996,0.04107666,0.052417725,0.055228978,2010q3
126554,00846U10,2010-11-12,87432,A,0.031023299999999976,-0.003070000000000017,0.032706317,0.045264237,0.027857987,2010q4
126554,00846U10,2011-02-14,87432,A,-0.008509760000000033,-0.044596670000000005,-0.019039467,-0.036555953,-0.05272688,2011q1
126554,00846U10,2011-05-13,87432,A,0.05361079999999996,0.002013700000000007,0.035432812,0.057797708,0.055732392,2011q2
126554,00846U10,2011-08-15,87432,A,0.012790300000000032,-0.012301679999999982,-0.035183601,0.044854555,0.000331299,2011q3
126554,00846U10,2011-11-15,87432,A,0.014111200000000101,0.023726899999999995,0.020386672,0.050395697,0.038173005,2011q4
126554,00846U10,2012-02-15,87432,A,0.0010244999999999838,-0.008120950000000016,-0.036075462,-0.006922241,-0.007104817,2012q1
126554,00846U10,2012-05-14,87432,A,-0.0017675200000000224,0.0474178999999999,0.039605405,0.040829364,0.045566473,2012q2
126554,00846U10,2012-08-15,87432,A,-0.002987980000000001,-0.09016829999999998,-0.10373446,-0.090398408,-0.092886858,2012q3
126554,00846U10,2012-11-19,87432,A,0.028294800000000064,-0.033774320000000024,-0.010132447,-0.010913605,-0.006435073,2012q4
126554,00846U10,2013-02-14,87432,A,-0.004663650000000019,-0.050255599999999956,-0.047181506,-0.053243645,-0.054684877,2013q1
126554,00846U10,2013-05-14,87432,A,0.012258600000000008,0.03494510000000006,0.026603786,0.034122236,0.047632176,2013q2
126554,00846U10,2013-08-14,87432,A,-0.004639150000000036,0.02264299999999997,0.02556389,0.026655069,0.017898764,2013q3
126554,00846U10,2013-11-14,87432,A,-0.017461179999999965,0.08245330000000006,0.041572597,0.054492202,0.063552275,2013q4
126554,00846U10,2014-02-13,87432,A,-0.003784180000000026,-0.08449644,-0.07192944,-0.086566105,-0.087960877,2014q1
126554,00846U10,2014-05-14,87432,A,-0.012518699999999994,-0.015975480000000042,-0.019337481,-0.020411925,-0.028294196,2014q2
126554,00846U10,2014-08-14,87432,A,0.01113199999999992,0.03494559999999991,0.051947799,0.048024829,0.04646666,2014q3
126554,00846U10,2014-11-17,87432,A,-0.00771438999999996,-0.016170559999999945,-0.012103936,-0.022237429,-0.023760207,2014q4
126554,00846U10,2015-02-17,87432,A,0.007468599999999936,0.025054099999999968,0.036585208,0.031176763,0.032709777,2015q1
126554,00846U10,2015-05-18,87432,A,0.010691999999999924,-0.00474726999999997,0.001231388,0.004591117,0.005893976,2015q2
126554,00846U10,2015-08-17,87432,A,-0.0013438500000000353,0.008656599999999903,-0.002837573,0.005838338,0.007301119,2015q3
126554,00846U10,2015-11-16,87432,A,0.001491499999999979,0.029486700000000088,0.010251511,0.021306248,0.031022269,2015q4
126554,00846U10,2016-02-16,87432,A,0.006059599999999943,0.00320649999999989,0.007392531,0.014391867,0.009285562,2016q1
126554,00846U10,2016-05-16,87432,A,-0.002702239999999967,0.042824900000000055,0.053956199,0.045611728,0.040006895,2016q2
126554,00846U10,2016-08-17,87432,A,0.002063300000000101,-0.038695389999999996,-0.014663451,-0.034617845,-0.036712006,2016q3
126554,00846U10,2016-11-15,87432,A,-0.00635772999999995,0.018697900000000045,-0.040392354,-0.01289406,0.012221214,2016q4
126554,00846U10,2017-02-14,87432,A,-0.0064549999999999885,0.019624899999999945,0.011134749,0.011548936,0.013043244,2017q1
126554,00846U10,2017-05-22,87432,A,-0.006284650000000003,0.04448009999999991,0.040673923,0.035255589,0.037915941,2017q2
126554,00846U10,2017-08-15,87432,A,-0.0025754000000000055,0.044327000000000005,0.03805691,0.036492735,0.04163745,2017q3
126554,00846U10,2017-11-20,87432,A,0.015203099999999914,-0.00725644999999997,-0.000506132,0.009497396,0.007836375,2017q4
126554,00846U10,2018-02-14,87432,A,0.005538599999999949,0.022173999999999916,0.016200991,0.02350576,0.027835397,2018q1
126554,00846U10,2018-05-14,87432,A,-0.004231149999999961,-0.09118687999999997,-0.077553354,-0.088679768,-0.095032178,2018q2
126554,00846U10,2018-08-14,87432,A,0.00566639999999996,-0.021182299999999987,-0.028450189,-0.015777921,-0.015635913,2018q3
126554,00846U10,2018-11-19,87432,A,-0.020046059999999977,0.09636749999999994,0.086857915,0.076634586,0.074389629,2018q4
126554,00846U10,2019-02-20,87432,A,0.011311099999999907,-0.0049941500000000305,0.00462332,-0.006129243,0.006260392,2019q1
126554,00846U10,2019-05-14,87432,A,0.020416100000000048,-0.1158517,-0.095974587,-0.11385359,-0.097800806,2019q2
126554,00846U10,2019-08-14,87432,A,-0.0024813399999999985,0.05920740000000002,0.064095661,0.058524612,0.056579195,2019q3
126554,00846U10,2019-11-25,87432,A,0.005848400000000087,0.006379399999999924,0.018276444,0.020821515,0.012265099,2019q4
126554,00846U10,2020-02-18,87432,A,-0.010057989999999961,0.0014255000000000795,0.002756545,-0.006232412,-0.008646797,2020q1
126554,00846U10,2020-05-21,87432,A,-0.00510292999999995,0.04972829999999995,0.007530889,0.022900704,0.044371571,2020q2
126554,00846U10,2020-08-18,87432,A,0.00218509999999994,0.005399300000000107,0.003043011,0.003988368,0.00759627,2020q3
126554,00846U10,2020-11-23,87432,A,0.003922500000000051,0.0069069999999999965,0.026112892,0.035754252,0.010856512,2020q4
126554,00846U10,2021-02-16,87432,A,0.0008881000000000583,0.019303599999999976,0.002016414,0.023640106,0.020208796,2021q1
126554,00846U10,2021-05-25,87432,A,0.0019059999999999633,-0.004082319999999973,0.028544813,-0.003694634,-0.002184019,2021q2
126554,00846U10,2021-08-17,87432,A,0.0006635999999999864,0.02197070000000001,0.067445926,0.041751098,0.022649053,2021q3
126554,00846U10,2021-11-22,87432,A,-0.0030317300000000103,-0.04885751000000005,-0.035262082,-0.036509495,-0.051741123,2021q4
126554,00846U10,2022-02-22,87432,A,-0.0005785799999999952,-0.01633399999999996,0.02737077,0.004839137,-0.016903145,2022q1
126554,00846U10,2022-05-24,87432,A,-0.0018573400000000406,-0.04359173999999999,-0.017727142,-0.05453708,-0.045368075,2022q2
126554,00846U10,2022-08-16,87432,A,-0.010346109999999964,0.08089260000000009,0.046922531,0.069513068,0.069709502,2022q3
126554,00846U10,2022-11-21,87432,A,-0.002594289999999999,0.06750849999999997,0.067021579,0.073183693,0.064739056,2022q4
126554,00846U10,2023-02-28,87432,A,0.0010985999999999496,-0.028256480000000028,-7.99e-05,-0.023673108,-0.027188826,2023q1
126554,00846U10,2023-05-23,87432,A,0.0069677999999999685,-0.05146837000000004,-0.066142328,-0.045047276,-0.044859219,2023q2
126554,00846U10,2023-08-15,87432,A,0.003885399999999928,-0.02625166999999995,-0.037485633,-0.02805051,-0.022468301,2023q3
126554,00846U10,2023-11-20,87432,A,0.0003181999999999352,0.09018499999999996,0.094127387,0.076968588,0.090531938,2023q4
126554,00846U10,2024-02-27,87432,A,0.005375899999999989,0.035796200000000056,0.040998463,0.039592549,0.041364402,2024q1
126554,00846U10,2024-05-29,87432,A,-0.009951000000000043,-0.09366143000000005,-0.12341623,-0.11678649,-0.10268043,2024q2
126554,00846U10,2024-08-21,87432,A,-0.003786089999999964,0.010273600000000105,-0.004829578,0.003930342,0.006448623,2024q3
126554,00846U10,2024-11-25,87432,A,0.0005717000000000638,-0.004169520000000038,0.0282568,0.004321067,-0.003600198,2024q4
27638,01387210,2016-12-01,16347,AA,0.0011007000000000655,0.004839500000000108,0.040997934,-0.018199874,0.005945566,2016q4
27638,01387210,2017-01-24,16347,AA,0.02496710000000002,-0.03394520000000001,0.016217725,0.009569638,-0.009825612,2017q1
27638,01387210,2017-04-24,16347,AA,0.040034899999999984,0.08950649999999993,0.063779324,0.1243213,0.13312483,2017q2
27638,01387210,2017-07-19,16347,AA,-0.004042149999999967,0.005994800000000078,0.002534734,0.002294103,0.001928394,2017q3
27638,01387210,2017-10-18,16347,AA,-0.0014061899999999738,-0.02520924999999996,-0.00691492,-0.035880946,-0.026579954,2017q4
27638,01387210,2018-01-17,16347,AA,0.004761100000000074,-0.06800996999999998,-0.081138179,-0.068001248,-0.063572727,2018q1
27638,01387210,2018-04-18,16347,AA,0.03901880000000002,0.019368300000000005,-0.055225383,0.087699167,0.059142791,2018q2
27638,01387210,2018-07-18,16347,AA,-0.003720700000000021,-0.13097906000000004,-0.13122185,-0.12643498,-0.13421243,2018q3
27638,01387210,2018-10-17,16347,AA,0.015478399999999892,0.07320499999999996,0.11605792,0.092630304,0.089816391,2018q4
27638,01387210,2019-01-16,16347,AA,-0.00040883000000002667,0.013966600000000051,-0.050738499,0.00745241,0.013551983,2019q1
27638,01387210,2019-04-17,16347,AA,0.0030567999999999707,-0.03931779000000002,0.020140249,-0.037763517,-0.036381278,2019q2
27638,01387210,2019-07-17,16347,AA,-0.0016955100000000112,0.007866699999999893,0.000348268,0.015641676,0.006157903,2019q3
27638,01387210,2019-10-16,16347,AA,-0.013524120000000028,0.0558088000000001,0.052835658,0.047806285,0.041529886,2019q4
27638,01387210,2020-01-15,16347,AA,-0.01126592999999998,-0.12731826000000002,-0.13614775,-0.10336936,-0.13714981,2020q1
27638,01387210,2020-04-22,16347,AA,0.00954530000000009,-0.035687389999999986,-0.034160811,-0.015033578,-0.026482739,2020q2
27638,01387210,2020-07-15,16347,AA,-0.005455729999999992,0.06704449999999995,0.069424383,0.14853986,0.061222933,2020q3
27638,01387210,2020-10-14,16347,AA,0.028029700000000046,-0.05306953000000003,0.029935392,-0.011656241,-0.026527321,2020q4
27638,01387210,2021-01-20,16347,AA,-0.02287536999999995,-0.12297027999999999,-0.18631764,-0.15734302,-0.14303264,2021q1
